shortcode,url,post_type,username,표시이름,caption,like_count,comment_count,view_count,taken_at
DS2JkAhASnR,https://www.instagram.com/p/DS2JkAhASnR/,post,by_s.a.daily,숭✨,"#일본 #뷰티템 #하울 #돈키호테 #추천템 

이번에 저희 언니가 일본에 다녀오면서 제가 궁금했던 뷰티템들을 사다줬어요~!😆🫶 중국 브랜드이지만 일본에서 구매할 수 있는 주디돌과 일본에서만 만날수 있는 롬앤 제품 발색 후기 가져왔습니다😍

❤️주디돌 - 하이라이터, 컨투어 팔레트 04호 / 블러셔, 하이라이터 팔레트03호
돈키호테에서 만날 수 있는 요즘 정말 핫한 주디돌 팔레트 2종이에요~! 저는 쿨톤으로 골랐는데 입자가 정말 곱고 컨투어 컬러는 자연스럽게 발색되어서 좋더라구요! 펄도 자글자글 너무 화려하지 않은 데일리 빔이라서 좋았고 핑크 컬러 부분은 진한 블러셔 위에 발라주면 뽀용하게 올라와요💕 
블러셔, 하이라이터 팔레트는 가루타입과 크림타입인데 크림 타입은 보송하게 올라가고 베이스 까짐도 없었어요!👍👍 

❤️롬앤 - 도리야끼 립앤 치크 01호
아니 이 패키지는 진짜 누가 생각하셨는지.. 너무 귀여운 도리야끼 디자인에 컬러도 팥을 연상시키는 컬러였어요! 팥 색깔은 보송하게, 위에 커스타드 색깔은 촉촉하게 올라가는 제형이었어요. 이거 딸기, 말차도 있던데 전색상 다 가지고싶더라구요..🥰

궁금했던 일본 뷰티템 다음에는 저도 일본 가서 또 쟁여오고 싶어요😆"". ",26,9,0,"December 29, 2025"
DPBcvrEE985,https://www.instagram.com/reel/DPBcvrEE985/,reel,cornu_ryu,류경아(竜),"일본 드럭스토어 쇼핑하기 전 필수 시청!! 
흔하지 않은 추천템 또 가져왔어요✨💗

#ad #로토 #일본쇼핑 #돈키호테 #일본드럭스토어 #일본여행"". ",1226,11,0,"September 25, 2025"
DVBWH0MkjFq,https://www.instagram.com/reel/DVBWH0MkjFq/,reel,meamea.0,밤 메메 bammeamea,"자취 10년차가 추천하는 돈키호테 삶의 질 상승템 #돈키호테 #돈키호테쇼핑 #돈키호테추천템"". ",25,3,0,"February 21, 2026"
DUpD75Oj4Gd,https://www.instagram.com/p/DUpD75Oj4Gd/,post,_yxxns__,@_yxxns__,"일본 드럭스토어 추천템:)! 
없는거 없는 돈키호테에도 다 팔아유
알러지약이랑 상비약은,,다음번에💟
#윤스x도쿄 #일본디럭스토어추천템 #일본추천템 #돈키호테쇼핑 
#일본쇼핑리스트"". ",782,9,0,"February 11, 2026"
C8rIrTGJaMD,https://www.instagram.com/dewdrop_0911/reel/C8rIrTGJaMD/,reel,dewdrop_0911,세연 | 손나노,"센세가 추천하는 일본 드럭스토어 추천템✨

#광고 #일본드럭스토어추천템#여드름케어#일본여행"". ",2001,21,0,"June 26, 2024"
DHvShsgz2qi,https://www.instagram.com/p/DHvShsgz2qi/,post,share_tip,꿀팁을 담아서 공유,"일본 교환학생이 찐사용해보고
추천하는 드럭스토어 추천템💗
@@저장해두고 일본 여행 가면 쟁여오자!!
⠀
⠀
⠀
⠀
⠀
#일본여행 #일본쇼핑 #일본쇼핑리스트 #돈키호테 #일본드럭스토어 #드럭스토어 #돈키호테추천템 #찐템 #추천템 #일본추천템 #일본쇼핑템 #여행 #여행꿀팁 #여행추천 #정보 #꿀팁 #꿀템"". ",830,1,0,"March 27, 2025"
CzGKFvgRy8a,https://www.instagram.com/reel/CzGKFvgRy8a/,reel,yeondukong,연두콩 Yeondukong,"#일본쇼핑 드럭스토어 추천템 2탄 화장품편🛍️
🛍️캔메이크 무뉴토 하이라이터
밀착력도 좋고 광이랑 펄 영롱그자체 !!
500엔대라 가격도 착하니 컬러별로 사오기

🛍️캔메이크 아이베이스
눈화장 지워지고 날라간다면 캔메이크 아이베이스도 꼭 사오세요!  500엔으로 가격대도 착해요

🛍️세잔느 아이브로우
아이브로우 케이크 찾으셨다면 세잔느 500엔대 제품 추천합니다. 발색 자연스러워요 

🛍️비오레 마스카라 리무버 코튼시트
오일기가 하나도없는데 강한 마스카라가 지워져요 너무신기하고 여행용으로 들고다니기 짱입니다

🛍️카오케프 스프레이 (보라색)
일본 아이돌출신 뷰티유튜버분이 추천한 스프레이 진짜 앞머리 고정력 짱짱입니다

🛍️캔메이크 크림치크
코덕이라면 캔메이크 크림치크 절대 놓치지마세요 
생각보다 부드러운 발색이 특징! 

🛍️사나두유 아이크림
가성비 좋은 사나 두유 아이크림 쫀쫀해요! 가격도 착해서 여러개 사서 쓰는편

🛍️소프티모 클렌징티슈
200엔대에 이런 품질을 본적이 없어요 제가 6년째 사오는 클렌징티슈 아무리 비싼걸 써봐도 저한텐 이게 최고에요

🛍️세잔느 아이섀도우
펄감 가득한 세잔느 섀도우도 꼭 겟해오세요!"". ",47000,293,0,"November 1, 2023"
DYg74-Zx2P9,https://www.instagram.com/reel/DYg74-Zx2P9/,reel,lilycozi,이희루,"#돈키호테 추천템 하울 이여라 ( ˘﹃˘ ).."". ",3373,62,0,"May 19, 2026"
DbqOakTTyUn,https://www.instagram.com/reel/DbqOakTTyUn/,reel,wonni028,워니,"아니 분명 다이소건데요…

한국이 아니에요ㅠㅠㅠㅠㅠ

#다이소 #일본다이소 #다이소추천템 #일본다이소추천템 #일본쇼핑"". ",6068,16,0,"August 5, 2026"
DZHfJkQTc8y,https://www.instagram.com/reel/DZHfJkQTc8y/,reel,52neng25,인영,"일본 하울 먹거리편! 돈키호테 추천템🛒 

#돈키호테 #일본쇼핑"". ",365,7,0,"June 3, 2026"
DSPHL1KEnbg,https://www.instagram.com/reel/DSPHL1KEnbg/,reel,halalala01,냠얌박사,"#일본편의점 #로손편의점 가면 꼭 먹어야한다는 
추천템 탑3 제가 먹어봤습니다 

항상 품절 대란이라는 #까르보나라우동 
비주얼은 계란까지 너무 좋았는데 맛은 
솔직하게 저는 잘 모르겠구요 ^^ 
워낙 일본 베이컨이 맛있어서 그걸로 살렸고 면도 낫뱃인데 소스 ? 
#모찌뿌요 기대와 다른맛 근데 엄청 찰지긴 한 피 
#초코슈 는 크림 낙낙해서 실패없는맛이긴 해요 
지금 고디바 콜라보 제품도 많은데 크레페 추천 하고 
가성비 생각하면 낫뱃 
N번째 일본편의점털이하는데 다음엔 제추천템 끓여올게요 

그나저나 삼각대없이 진짜 찐후기 남기는 저의 영상이란 ㅋㅋㅋㅋ
크림 터뜨리기 
#lawson#도쿄여행#도쿄로손#도쿄편의점#로손모찌롤 #로손편의점털기 #일본편의점털기 #일본맛집 #도쿄맛집#도쿄편의점#일본여행#일본여행추천 #일본여행맛집 #까르보라나우동#일본파스타#일본편의점빵#편의점메뉴추천"". ",1965,24,0,"December 13, 2025"
DaZ8kKvvFT0,https://www.instagram.com/reel/DaZ8kKvvFT0/,reel,rachel_staycation,매주 떠나는 호캉스 | 여행 숙소,"📌실패없는 일본 편의점 추천템 25종 총정리✔️

일본 3대 편의점 
세븐일레븐, 패밀리마트, 로손 갔는데 🚶‍♀️🚶‍♂️🚶
이거 안 사면 손해? 🧐

현지인들도 줄 서서 먹는다는 추천템 25종 리스트🍰
디저트부터 야식까지🍜

영상 보고 일본 여행 가서 편의점 다 털어보자! 🇯🇵

​📌 영상 속 제품이 궁금하다면 
저장하고 일본 갈 때 꺼내 보세요!

@rachel_staycation

​#일본여행 #일본편의점 #일본편의점추천 #일본디저트 #일본편의점간식"". ",41,17,0,"July 4, 2026"
DRr00rjkkqu,https://www.instagram.com/reel/DRr00rjkkqu/,reel,woonimong,우니몽 | 데이트코스 팝업 이색체험 여행,"일본감성 희귀템으로 가득한 제주 소품샵🧡

아기자기하고 귀여운 감성의
일본 직수입 소품샵 알아왔어요..!

고전 빈티지 제품도 있고
다른 곳에서 쉽게 보기 힘든
희귀템들이 많았답니당

제주 가면 꼭 한 번 가보시길
추천드려요🫶🏻

——————

🌰초요일
- 제주 제주시 용문로 128-1
🌰11:00 - 19:00 (화 휴무)

——————

 @woonimong 팔로우하고 🍯스팟 정보 받아보세요!

#초요일 #제주소품샵 #소품샵추천 #일본직수입 #캐릭터굿즈"". ",131,0,0,"November 30, 2025"
DEuZXALSQQV,https://www.instagram.com/reel/DEuZXALSQQV/,reel,space_tamnik,포토그래퍼의 【공간 탐닉】,"일본편의점🇯🇵 찐추천 ‘리스트정리’

7일간 30개를 먹은 편의점 디저트
실패했던 것은 제외하고

진심으로 맛있게 먹은 것만 정리해 드리니
꼭 저장하고 참고해주세요.

1. 하겐다즈 모찌 
- 명불허전 하겐다즈에 모찌를 얹은 맛도리

2. 고구마 모찌볼 (세븐일레븐)
- 쫀득한 모찌볼 안에 녹진한 고구마 필링 조합

3. 생초콜릿 아이스 (세븐일레븐)
- 생 초콜릿 토핑 듬뿍, 아이스크림 자체도 찐 초코맛

4. 후와모찌 말차크림 (패밀리마트)
- 쭉 늘어나는 모찌에 말차 크림 듬뿍

5. 크렘브륄레 아이스크림 (BRULEE)
- 쌉싸름한 캐러멜 브륄레의 바삭한 포인트

6. 초콜릿 푸딩 (ひとりでたのしくチョコプリン)
- 고디바 못지 않은 고급스러운 초콜릿 맛

7. 나메라카 푸딩 
- 커스터드 크림의 고급스러운 풍미가 일품

🇯🇵 Must-Try Japanese Convenience Store Desserts

After trying 30 convenience store desserts over 7 days, here’s a refined list of only the best ones, excluding the misses. Be sure to save this list for your next trip!

1. Haagen-Dazs Mochi
- The classic Haagen-Dazs flavors topped with soft, chewy mochi—a perfect combination.

2. Sweet Potato Mochi Balls (7-Eleven)
- Chewy mochi balls filled with rich, creamy sweet potato filling.

3. Raw Chocolate Ice Cream (7-Eleven)
- Topped with generous amounts of raw chocolate, this ice cream is packed with intense cocoa flavor.

4. Fuwa Mochi Matcha Cream (FamilyMart)
- Stretchy, chewy mochi filled with rich matcha cream.

5. Creme Brulee Ice Cream (BRULEE)
- A creamy vanilla ice cream topped with crispy, slightly bitter caramelized brulee.

6. Chocolate Pudding (ひとりでたのしくチョコプリン)
- A rich and luxurious chocolate pudding with a flavor that rivals Godiva.

7. Nama Custard Pudding
- A premium pudding with creamy custard and an elegant flavor.

#일본편의점 #lawson #familymart #편의점디저트 #일본맛집 #japanesefood"". ",64000,135,0,"January 12, 2025"
DTKaNCrkrcH,https://www.instagram.com/reel/DTKaNCrkrcH/,reel,saralee.zip,"여행, 세라세라","🇯🇵 일본 편의점 : 패밀리마트 추천템 7가지 ⤵🍡
일본여행가는 친구 태그 @@@ 공유,저장필수!

① 수플레푸딩
촉촉한 치케st 수플레에
부드러운 푸딩이 더해진 수플레 푸딩

② 낫또김밥
구수한 낫또가 들어간 중독성 갑인 김밥

③ 이치고 밀크 (딸기/메론)
딸기과육이 잔뜩 들어간
찐한 딸기라떼맛 이치고밀크

④ 우콘노치카라
강황이 들어가 간 건강에 도움을 주는 숙취해소제

⑤ 헤파리제
자양강장 성분이 들어가 간 보호,
피로회복에 좋은 숙취해소제

⑥ Q&P 코와 알파
많이 걷는 일본 여행에 필수인 피로회복제

⑦ 파미치킨
맥주안주로 딱인 겉바속촉에 육즙 가득한 치킨

일본여행 묘미는 편털 아니겠어요😁
더 많은 일본여행 꿀팁 제 피드에 더 많아요⭐
⋅⋅•⋅⋅∘⋅⋅•⋅⋅•⋅∙∘∙•⋅⋅⋅

일본 여행정보 & 국내외 여행 꿀팁
얻고싶다면 @saralee.zip 팔로우 필수💗

⋅⋅•⋅⋅∘⋅⋅•⋅⋅•⋅∙∘∙•⋅⋅⋅
#일본여행 #일본편의점 #일본쇼핑리스트 #일본쇼핑 #일본여행추천"". ",85,13,0,"January 6, 2026"
DAtD3foPxgA,https://www.instagram.com/p/DAtD3foPxgA/,post,soojinny1014,르빰므 / 여행,"돈키호테 오사카 쇼핑리스트 일본 현지인 추천템 모음 ..#제작비지원 

오사카 돈키호테 도톤보리 미도스지점 쇼핑리스트

도톤보리점 여행객들로 붐빌때 글리코상 근처에 위치한
도톤보리 미도스지점은 편하게 쇼핑할 수 있어요! 

1️⃣로키 소닌 EX 테이프 파스

일본 병원에서 필수로 처방해 주는 붙이는 파스
어깨결림에 의한 어깨 통증, 근육통, 손목 통증, 운동후 팔꿈치 통증,
타박상이나 염증에 효과가 좋은 파스 제품

2️⃣로키소닌 S 하드겔
 
일본 쇼핑리스트 현지인 매출 1위로 유명한 파스와 세트로 스틱도 있어요
바르면 보송보송해서 끈적거림이 없어서 편하구요
냄새는 적고 바르면 시원한 느낌이 나요

3️⃣트란시노 화이트 C 클리어

일본 기미 주근깨 넘버 1 / 멜라닌 배출을 촉진
일본 비타민C로 유명한 브랜드에서 매출 1위라는 트란시노 화이트C 클리어

4️⃣클린 덴탈 토탈 케어 치약

고가격대 치약중 매출 넘버1 살균 성분이 강화되고 치주병에
예방이 많이 되는 치약이라 부모님꼐 선물로 아주 좋아요

5️⃣트란시노 약용 톤업 CC 썬 크림

미백이랑 선크림 역할을 같이 해주는 화장품/강력한 UV차단 효과
2가지 타입의 선크림 톤업 크림,
비비크림과 자외선 차단효과, 핑크색은 톤업 그레이드

6️⃣프로페토 퓨어벨

순한 성분의 바세린 끈적임이 적고 튜브형태라 위생적이에요

--------------------------------------------------------
📍돈키호테 도톤보리 미도스지점
🚃난바역이랑 글리코사인에서 가까운 위치
-운영시간 오전 10시부터 새벽 3시까지
-택스프리는 7층 여권지참 필수

#오사카쇼핑리스트 #돈키호테 #돈키호테쇼핑리스트 #르빰므_오사카"". ",828,50,0,"October 4, 2024"
DM6vKCSyzqq,https://www.instagram.com/reel/DM6vKCSyzqq/,reel,gookju,이국주,"일본 돈키호테에서 이거챙겨!! 🤩도쿄사는 국주의 추천템🤟🏻#일본 #돈키호테쇼핑 #도쿄"". ",9935,129,0,"August 3, 2025"
DUawM65EiZZ,https://www.instagram.com/reel/DUawM65EiZZ/,reel,beni_hdy,베니 | 뉴질랜드워홀 | 해외살이,"2026년 돈키호테 추천템 🇯🇵

일본워홀러가 한국올 때 사는템
다 먹는게 함정 ..^^***

여러분만의 추천템 있으면
댓글로 공유해주세요! 

<돈키호테 맛도리>
1. 카메다 해피탄
2.타케노코노사토
3. 카키노타네
4. 간장계란밥 소스
5. 자가비 소스&버터간장
6. 노리타마 후리카케
7. 귀여미 젤리. 과자

@beni_hdy 

#돈키호테 #일본추천 #일본워홀 #일본 #일본여행"". ",485,8,0,"February 6, 2026"
DVtDzNREub_,https://www.instagram.com/reel/DVtDzNREub_/,reel,yunaruu,윾나,"귀여운게 최고야••🫧

#돈키호테추천템 #돈키호테 #돈키호테쇼핑 #donquijote #일본쇼핑"". ",230,8,0,"March 10, 2026"
DOz9RPzASqt,https://www.instagram.com/p/DOz9RPzASqt/,post,space.go__,스페이스고 spacego,"2025 일본여행 쇼핑리스트를 총정리해 소개합니다.도쿄 바나나 같은 국민 간식부터 드럭스토어 베스트셀러, 감성 가득한 기념품까지 두루 담은 리스트인데요. 일본 여행 중 어떤 걸 사야 할지 고민이라면 참고해 보시기 바랍니다. 자주 사오는 꿀템이나 추천하고 싶은 아이템이 있다면 댓글로 공유해 주세요.🌏

📸 각 아이템별 공식 홈페이지, 스페이스고"". ",1564,2,0,"September 19, 2025"
DbiEPuyPUHm,https://www.instagram.com/reel/DbiEPuyPUHm/,reel,miaeng.beauty,미엥 | 뷰티 · 피부 · 자기관리,"🇯🇵 일본 현지인이 추천해 준 돈키호테 추천템 TOP5✨

직접 추천받고 하나씩 써본 것만 가져왔어요!
메이크업 초보도 쉽게 쓰는 꿀템들 🤍
일본 갈 계획이라면 저장해 두고 돈키호테에서 하나씩 담아보세요!🛒

앞으로도 실패 없는 쇼핑 리스트 계속 알려줄게요 💌

#뷰티 #피부 #자기관리 #돈키호테 #추천템"". ",292,14,0,"August 2, 2026"
DMSESxbvq46,https://www.instagram.com/p/DMSESxbvq46/,post,space.go__,스페이스고 spacego,"2025 일본여행 쇼핑리스트를 총정리해 소개합니다.도쿄 바나나 같은 국민 간식부터 드럭스토어 베스트셀러, 감성 가득한 기념품까지 두루 담은 리스트인데요. 일본 여행 중 어떤 걸 사야 할지 고민이라면 참고해 보시기 바랍니다. 자주 사오는 꿀템이나 추천하고 싶은 아이템이 있다면 댓글로 공유해 주세요.🌏

📸 각 아이템별 공식 홈페이지, 스페이스고"". ",1797,7,0,"July 18, 2025"
DT0GHQpDx8N,https://www.instagram.com/reel/DT0GHQpDx8N/,reel,honeybear0917,허니베어,"일본여행에서 꼭 사와야하는 꿀맛템 7가지🧡

여러분은 일본여행가면 꼭 사오는 #꿀맛템 이 있으신가요??

#허니베어 #일본여행 #돈키호테 #일본여행기념품"". ",1200,12,0,"January 22, 2026"
DP2sLuQkaXQ,https://www.instagram.com/p/DP2sLuQkaXQ/,post,torybin,빈토리 여행인플루언서 일본여행 日本国内旅行 海外旅行 グルメ,"일본 쇼핑리스트 여기 다 있다!
후쿠오카 여행 오면 무조건 들러야 하는 쇼핑 성지✨ 텐진 쇼퍼즈 이온!

지하철 텐진역에서 바로 연결되는 초대형 쇼핑센터로
지하1층부터 3층까지 없는 게 없는 곳🛒

🍱 B1 식품관(마트)
일본여행의 고수는 편의점 대신 ‘이온 마트’를 턴다!
스시, 도시락, 사시미, 텐푸라, 빵, 과자, 라멘, 소스, 조미료, 주류까지
진짜 “일본의 먹거리 천국”이란 말이 딱이에요.
소프트 아이스크림도 놀랄 만큼 맛있고 도시락 퀄리티는 식당급🍣

💄 1F 드럭스토어·화장품·의약품
이온의 하이라이트!
약사가 상주해 있어서 진통제, 감기약, 처방전 약까지 OK✨
한국인 여행자에게 인기 많은
‘이브’, ‘파브론’, ‘아리나민’, ‘동전파스’, ‘사론파스’, 안약, 비염스프레이 등 전부 구비!
화장품 코너엔 캔메이크, 세잔느, 시세이도, 가네보 등 일본 대표 브랜드가 총출동💋
특히 캔메이크 부스는 규모가 어마어마해서 구경만 해도 시간 순삭⏰

👁‍🗨 콘택트렌즈 코너도 있어서
국내보다 훨씬 저렴한 일본 한정 렌즈 득템 가능!

🧴 생활용품 & 반려동물 코너도 완벽🐶🐱
샴푸, 세제, 칫솔, 여성용품, 주방세제부터
반려동물 간식·사료·장난감까지 다양하게 판매해요.
일본 츄르는 기호성 최고라 늘 쟁여두기 필수!

👗 3F 패션·잡화
이온 오리지널 티셔츠, 양말, 속옷 등 귀여운 굿즈 많고
남녀 잡화 코너도 풍성해요. 손수건 코너도 꼭 들러보세요🧦



💡 면세 & 할인 정보
5,500엔 이상 구입한 제품과 영수증을
여권과 함께 제시하면 10% 텍스프리 
계산 전 5% 할인쿠폰 제시하면 즉시 할인💸
쿠폰은 규슈 지역 대부분의 이온에서도 사용 가능해요.
https://www.aeon-kyushu.com.tw/ko/coupon

한 번 방문으로 도시락·의약품·화장품·기념품·일본술까지
모~두 해결 가능한 진짜 올인원 쇼핑 스팟!
후쿠오카 쇼핑 코스에서 절대 빠질 수 없는 곳이에요🩷

#후쿠오카쇼핑 #이온몰후쿠오카 #텐진쇼퍼즈 #텐진이온몰 #이온쇼퍼즈후쿠오카 #후쿠오카이온몰 #후쿠오카여행 #후쿠오카쇼핑리스트 #후쿠오카쇼핑코스 #이온몰쇼핑 #일본쇼핑리스트 #일본마트쇼핑 #일본즉석음식 #일본도시락 #일본드럭스토어 #일본의약품 #일본화장품쇼핑 #일본주류코너 #일본위스키 #일본사케 #후쿠오카면세쇼핑 #일본콘택트렌즈 #일본생활용품 #일본반려동물용품 #일본여행코스 #이온몰쿠폰 #후쿠오카관광 #후쿠오카맛집투어 #규슈여행"". ",782,7,0,"October 15, 2025"
DSKI2sEj5Rl,https://www.instagram.com/p/DSKI2sEj5Rl/,post,_lensmag,lensmag 렌즈매거진,"일본 여행 쇼핑리스트를 총정리해 소개합니다.🛒

도쿄 바나나 같은 국민 간식부터 드럭스토어 베스트셀러, 감성 가득한 기념품까지 두루 담은 리스트인데요. 뭘 사야 할지 고민되는 여행자라면 이번 리스트를 저장해 두고 참고하기 좋습니다. 과자·화장품·약 등 카테고리별로 정리해 쇼핑 동선을 짜기에도 편리합니다.

이외에도 추천하고 싶은 아이템이 있다면 댓글로 공유해 주세요.☑️

📸 각 아이템별 공식 홈페이지"". ",1876,23,0,"December 12, 2025"
DWP_cQGDh2M,https://www.instagram.com/p/DWP_cQGDh2M/,post,very_good_tip,꿀팁 저장소,"일본 여행을 준비중이라면
필수로 방문 해야하는 쇼핑 맛집 리스트..~!🫢🔥

@@일본 여행가는 친구 태그..!"". ",118,29,0,"March 23, 2026"
DUsMVe4khfg,https://www.instagram.com/reel/DUsMVe4khfg/,reel,xxmao_.com0,愛,"일본여행시 꼭 사야하는 필수템 추천 ˚₊·—̳͟͞͞♡ 🩷✨

#일본여행 #일본화장품 #화장품추천 #돈키호테 #립추천"". ",7061,7,0,"February 12, 2026"
DRUEu4KkUxX,https://www.instagram.com/reel/DRUEu4KkUxX/,reel,mungutrip_official,문구여행자ㅣ복치,"겨울 일본여행 필수템!! #일본여행"". ",76,5,0,"November 21, 2025"
