username,프로필,추정언어,거주추정,수집_게시물수,아이템_언급_게시물수,평균_조회수,총_조회수,평균_좋아요,평균_댓글,참여율_%,댓글_좋아요_비_%,티어,다루는_아이템,판매가능_아이템,판매가능_아이템수,대표_영상,대표_영상_조회수,섭외점수,DM_초안,발송일,상태,메모
soojinny1014,https://www.instagram.com/soojinny1014/,ko,,1,0,0,0,828,50,0.0,6.04,나노,,,0,https://www.instagram.com/p/DAtD3foPxgA/,0,49.9,"안녕하세요 soojinny1014님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/p/DAtD3foPxgA/) 잘 봤습니다. 좋아요 828개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
space_tamnik,https://www.instagram.com/space_tamnik/,ko,,1,0,0,0,64000,135,0.0,0.21,나노,,,0,https://www.instagram.com/reel/DEuZXALSQQV/,0,48.2,"안녕하세요 space_tamnik님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/reel/DEuZXALSQQV/) 잘 봤습니다. 좋아요 64,000개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
nowistravel,https://www.instagram.com/nowistravel/,ko,,1,0,0,0,10000,34,0.0,0.34,나노,,,0,https://www.instagram.com/p/DCdK3mdyZnf/,0,47.8,"안녕하세요 nowistravel님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/p/DCdK3mdyZnf/) 잘 봤습니다. 좋아요 10,000개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
halalala01,https://www.instagram.com/halalala01/,ko,,1,0,0,0,1965,24,0.0,1.22,나노,,,0,https://www.instagram.com/reel/DSPHL1KEnbg/,0,47.5,"안녕하세요 halalala01님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/reel/DSPHL1KEnbg/) 잘 봤습니다. 좋아요 1,965개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
dewdrop_0911,https://www.instagram.com/dewdrop_0911/,ko,,1,0,0,0,2001,21,0.0,1.05,나노,,,0,https://www.instagram.com/dewdrop_0911/reel/C8rIrTGJaMD/,0,46.8,"안녕하세요 dewdrop_0911님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/dewdrop_0911/reel/C8rIrTGJaMD/) 잘 봤습니다. 좋아요 2,001개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
wonni028,https://www.instagram.com/wonni028/,ko,,1,0,0,0,6068,16,0.0,0.26,나노,,,0,https://www.instagram.com/reel/DbqOakTTyUn/,0,42.4,"안녕하세요 wonni028님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/reel/DbqOakTTyUn/) 잘 봤습니다. 좋아요 6,068개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
very_good_tip,https://www.instagram.com/very_good_tip/,ko,,1,0,0,0,118,29,0.0,24.58,나노,,,0,https://www.instagram.com/p/DWP_cQGDh2M/,0,40.9,"안녕하세요 very_good_tip님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/p/DWP_cQGDh2M/) 잘 봤습니다. 좋아요 118개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
honeybear0917,https://www.instagram.com/honeybear0917/,ko,,1,0,0,0,1200,12,0.0,1.0,나노,,,0,https://www.instagram.com/reel/DT0GHQpDx8N/,0,40.5,"안녕하세요 honeybear0917님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/reel/DT0GHQpDx8N/) 잘 봤습니다. 좋아요 1,200개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
rachel_staycation,https://www.instagram.com/rachel_staycation/,ko,,1,0,0,0,41,17,0.0,41.46,나노,,,0,https://www.instagram.com/reel/DaZ8kKvvFT0/,0,40.5,"안녕하세요 rachel_staycation님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/reel/DaZ8kKvvFT0/) 잘 봤습니다. 좋아요 41개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
cornu_ryu,https://www.instagram.com/cornu_ryu/,ko,,1,0,0,0,1226,11,0.0,0.9,나노,,,0,https://www.instagram.com/reel/DPBcvrEE985/,0,40.2,"안녕하세요 cornu_ryu님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/reel/DPBcvrEE985/) 잘 봤습니다. 좋아요 1,226개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
xxmao_.com0,https://www.instagram.com/xxmao_.com0/,ko,,1,0,0,0,7061,7,0.0,0.1,나노,,,0,https://www.instagram.com/reel/DUsMVe4khfg/,0,40.1,"안녕하세요 xxmao_.com0님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/reel/DUsMVe4khfg/) 잘 봤습니다. 좋아요 7,061개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
miaeng.beauty,https://www.instagram.com/miaeng.beauty/,ko,,1,0,0,0,292,14,0.0,4.79,나노,,,0,https://www.instagram.com/reel/DbiEPuyPUHm/,0,39.7,"안녕하세요 miaeng.beauty님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/reel/DbiEPuyPUHm/) 잘 봤습니다. 좋아요 292개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
_yxxns__,https://www.instagram.com/_yxxns__/,ko,,1,0,0,0,782,9,0.0,1.15,나노,,,0,https://www.instagram.com/p/DUpD75Oj4Gd/,0,39.6,"안녕하세요 _yxxns__님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/p/DUpD75Oj4Gd/) 잘 봤습니다. 좋아요 782개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
saralee.zip,https://www.instagram.com/saralee.zip/,ko,,1,0,0,0,85,13,0.0,15.29,나노,,,0,https://www.instagram.com/reel/DTKaNCrkrcH/,0,39.1,"안녕하세요 saralee.zip님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/reel/DTKaNCrkrcH/) 잘 봤습니다. 좋아요 85개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
52neng25,https://www.instagram.com/52neng25/,ko,,1,0,0,0,365,7,0.0,1.92,나노,,,0,https://www.instagram.com/reel/DZHfJkQTc8y/,0,38.3,"안녕하세요 52neng25님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/reel/DZHfJkQTc8y/) 잘 봤습니다. 좋아요 365개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
by_s.a.daily,https://www.instagram.com/by_s.a.daily/,ko,,1,0,0,0,26,9,0.0,34.62,나노,,,0,https://www.instagram.com/p/DS2JkAhASnR/,0,37.9,"안녕하세요 by_s.a.daily님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/p/DS2JkAhASnR/) 잘 봤습니다. 좋아요 26개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
yunaruu,https://www.instagram.com/yunaruu/,ko,,1,0,0,0,230,8,0.0,3.48,나노,,,0,https://www.instagram.com/reel/DVtDzNREub_/,0,37.1,"안녕하세요 yunaruu님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/reel/DVtDzNREub_/) 잘 봤습니다. 좋아요 230개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
ssooah5080,https://www.instagram.com/ssooah5080/,ko,,1,0,0,0,13,5,0.0,38.46,나노,,,0,https://www.instagram.com/reel/DPyGvMWkurV/,0,36.8,"안녕하세요 ssooah5080님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/reel/DPyGvMWkurV/) 잘 봤습니다. 좋아요 13개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
mungutrip_official,https://www.instagram.com/mungutrip_official/,ko,,1,0,0,0,76,5,0.0,6.58,나노,,,0,https://www.instagram.com/reel/DRUEu4KkUxX/,0,36.6,"안녕하세요 mungutrip_official님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/reel/DRUEu4KkUxX/) 잘 봤습니다. 좋아요 76개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
ultra_honeytem,https://www.instagram.com/ultra_honeytem/,ko,,1,0,0,0,479,5,0.0,1.04,나노,,,0,https://www.instagram.com/reel/C4pcbtAO29h/,0,35.6,"안녕하세요 ultra_honeytem님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/reel/C4pcbtAO29h/) 잘 봤습니다. 좋아요 479개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
meamea.0,https://www.instagram.com/meamea.0/,ko,,1,0,0,0,25,3,0.0,12.0,나노,,,0,https://www.instagram.com/reel/DVBWH0MkjFq/,0,34.5,"안녕하세요 meamea.0님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/reel/DVBWH0MkjFq/) 잘 봤습니다. 좋아요 25개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
share_tip,https://www.instagram.com/share_tip/,ko,,1,0,0,0,830,1,0.0,0.12,나노,,,0,https://www.instagram.com/p/DHvShsgz2qi/,0,31.4,"안녕하세요 share_tip님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/p/DHvShsgz2qi/) 잘 봤습니다. 좋아요 830개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
eunhalu_,https://www.instagram.com/eunhalu_/,ko,,1,0,0,0,295,2,0.0,0.68,나노,,,0,https://www.instagram.com/reel/DTxPlO3AYIN/,0,27.6,"안녕하세요 eunhalu_님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/reel/DTxPlO3AYIN/) 잘 봤습니다. 좋아요 295개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
cheongjeul,https://www.instagram.com/cheongjeul/,ko,,1,0,0,0,471,0,0.0,0.0,나노,,,0,https://www.instagram.com/p/DUnPyeZE5NS/,0,22.9,"안녕하세요 cheongjeul님, 일본 상품 구매대행 사이트를 운영하는 재팬픽입니다.
'일본 쇼핑 아이템' 소개해주신 릴스(https://www.instagram.com/p/DUnPyeZE5NS/) 잘 봤습니다. 좋아요 471개 나온 거 보고 연락드려요.
팔로워분들이 '이거 어디서 사요?' 물어보실 것 같은데, 저희가 현지에서 직접 소싱해서 https://japanpick.co.kr 에서 판매 중입니다.
・제휴 링크 커미션 (판매액의 ◯%)
・제품 무상 제공 후 콘텐츠 제작
둘 중 편한 방식으로 진행 가능합니다. 관심 있으시면 회신 부탁드려요!",,미발송,
